year,sst
1607,1.061765035
1608,-0.035778886
1609,-0.881802325
1610,0.375800084
1611,0.307203589
1612,-0.172971876
1613,-0.424492358
1614,-0.355895863
1615,-0.447357856
1616,-0.150106378
1617,-0.127240879
1618,0.147145101
1619,0.192876098
1620,-0.218702873
1621,0.71878256
1622,0.352934586
1623,0.833110052
1624,-0.584550846
1625,-0.424492358
1626,-0.310164866
1627,0.124279603
1628,0.467262078
1629,-0.195837374
1630,-0.241568371
1631,-1.316246794
1632,0.215741596
1633,0.810244553
1634,0.078548606
1635,-0.262384625
1636,0.088729334
1637,0.27642094
1638,0.187162611
1639,-0.457107714
1640,-0.193513253
1641,-0.058621466
1642,0.599981581
1643,0.066357633
1644,0.009910396
1645,-0.397293851
1646,0.18061655
1647,0.1144851
1648,-0.236230629
1649,-0.785908692
1650,-0.284662729
1651,-0.080068234
1652,0.619343603
1653,0.771103403
1654,-0.201077844
1655,0.135931868
1656,0.284758147
1657,0.687424921
1658,0.567679754
1659,-0.068381838
1660,0.122881027
1661,0.087839277
1662,0.524810061
1663,-0.261951519
1664,0.063974659
1665,0.123126941
1666,0.545138298
1667,0.604273142
1668,0.077798116
1669,-0.207980853
1670,0.082013518
1671,0.21130802
1672,0.217566886
1673,0.11053305
1674,0.317036132
1675,0.092113399
1676,-0.079178177
1677,0.092494191
1678,-0.483337869
1679,-0.083926687
1680,-0.257677397
1681,0.22142534
1682,-0.195328242
1683,-0.178952056
1684,-0.418020317
1685,-0.19292783
1686,0.281315362
1687,0.546783532
1688,0.264277594
1689,0.209077362
1690,0.188596809
1691,-0.331144962
1692,-0.117170886
1693,0.144175479
1694,-0.195726472
1695,-0.113558346
1696,-0.689085772
1697,-0.668909852
1698,0.253024304
1699,-0.148922168
1700,-0.306805955
1701,-0.483015797
1702,-0.448261242
1703,1.244689022
1704,0.512993075
1705,0.124279603
1706,0.58158957
1707,0.512993075
1708,0.215741596
1709,0.535858573
1710,-0.058644384
1711,0.078548606
1712,0.490127576
1713,0.375800084
1714,0.650186065
1715,0.490127576
1716,0.192876098
1717,0.238607094
1718,0.398665583
1719,0.398665583
1720,0.238607094
1721,0.764513556
1722,0.284338091
1723,0.170010599
1724,0.284338091
1725,0.147145101
1726,0.238607094
1727,0.284338091
1728,0.101414104
1729,0.71878256
1730,-0.058644384
1731,0.124279603
1732,-0.012913388
1733,0.99316854
1734,0.330069088
1735,0.375800084
1736,0.330069088
1737,0.170010599
1738,-0.035778886
1739,0.398665583
1740,0.238607094
1741,0.650186065
1742,0.330069088
1743,-0.264433869
1744,0.673051563
1745,-0.012913388
1746,0.124279603
1747,0.398665583
1748,0.764513556
1749,0.695917061
1750,-0.493088853
1751,0.787379055
1752,0.078548606
1753,0.261472593
1754,0.398665583
1755,0.284338091
1756,-0.241568371
1757,0.330069088
1758,0.490127576
1759,0.101414104
1760,0.673051563
1761,0.970303042
1762,1.107496032
1763,0.947437543
1764,0.055683107
1765,-0.310164866
1766,0.170010599
1767,0.284338091
1768,0.307203589
1769,-0.218702873
1770,0.078548606
1771,0.627320566
1772,0.375800084
1773,0.215741596
1774,0.009952111
1775,0.009952111
1776,0.192876098
1777,-0.493088853
1778,0.330069088
1779,0.695917061
1780,0.055683107
1781,-0.012913388
1782,0.124279603
1783,-0.40162686
1784,0.078548606
1785,-0.172971876
1786,0.627320566
1787,-0.218702873
1788,-0.012913388
1789,-0.150106378
1790,0.490127576
1791,0.764513556
1792,0.604455068
1793,0.147145101
1794,-0.058644384
1795,0.878841048
1796,0.375800084
1797,-0.287299368
1798,0.535858573
1799,0.650186065
1800,0.764513556
1801,0.170010599
1802,-0.333030365
1803,-0.287299368
1804,0.101414104
1805,-0.607416345
1806,-0.607416345
1807,0.307203589
1808,-0.333030365
1809,0.032817609
1810,-0.653147341
1811,-0.95039882
1812,-0.378761361
1813,-0.150106378
1814,-0.40162686
1815,-0.264433869
1816,-0.058644384
1817,0.147145101
1818,-0.012913388
1819,0.101414104
1820,0.192876098
1821,-0.264433869
1822,-0.218702873
1823,0.741648058
1824,0.101414104
1825,0.398665583
1826,0.078548606
1827,0.695917061
1828,0.490127576
1829,-0.035778886
1830,0.673051563
1831,0.85597555
1832,0.101414104
1833,-0.104375381
1834,-0.653147341
1835,-0.333030365
1836,-0.012913388
1837,0.673051563
1838,0.627320566
1839,0.215741596
1840,0.516903894
1841,-0.138188829
1842,0.106282727
1843,0.076562106
1844,-0.658963296
1845,0.19927047
1846,-0.087393486
1847,-0.104397186
1848,-0.674619384
1849,-0.204856956
1850,0.00745337
1851,0.381162695
1852,0.098552179
1853,0.248272698
1854,-0.076224418
1855,-0.289409244
1856,-0.433584286
1857,-0.497821067
1858,-0.419516936
1859,-0.646473384
1860,-0.228936559
1861,-0.10440027
1862,-0.207205292
1863,0.240899993
1864,0.620300705
1865,0.675253419
1866,0.314803209
1867,-0.075936356
1868,0.07197079
1869,-0.077074232
1870,0.305376748
1871,0.283082871
1872,-0.269033424
1873,0.187316142
1874,0.190113965
1875,0.172805506
1876,0.210110954
1877,0.407415833
1878,0.118336419
1879,-0.909550244
1880,-0.501880995
1881,-0.386507447
1882,-0.784543875
1883,-0.528364411
1884,0.035651645
1885,-0.062525672
1886,-0.483101473
1887,-0.19571189
1888,0.596343372
1889,-0.513526026
1890,-0.406054252
1891,0.002421691
1892,-0.619176962
1893,-0.460160076
1894,-0.201269402
1895,0.08644154
1896,0.499805956
1897,-0.425453677
1898,-0.586828493
1899,0.37493197
1900,-0.024410499
1901,-0.069848764
1902,0.512403073
1903,-0.053667458
1904,0.174778409
1905,0.716689114
1906,0.142297668
1907,0.009032444
1908,-0.484781335
1909,-0.6305038
1910,-0.538314464
1911,0.368081102
1912,0.062589244
1913,0.119724267
1914,0.767653557
1915,0.042928083
1916,-0.620058443
1917,-0.81437385
1918,0.489420354
1919,0.522500796
1920,-0.19596319
1921,-0.267266379
1922,-0.158185897
1923,0.268658263
1924,-0.413223599
1925,-0.014866385
1926,-0.208506715
1927,-0.294055053
1928,-0.294556987
1929,0.175769238
1930,0.625940838
1931,-0.138982416
1932,-0.209660918
1933,-0.621514478
1934,-0.223699046
1935,-0.057029801
1936,0.083897137
1937,0.034909837
1938,0.046631512
1939,0.348449744
1940,0.931854853
1941,0.976164114
1942,-0.027118195
1943,-0.245674742
1944,-0.380956384
1945,-0.405297393
1946,0.271083361
1947,-0.175924693
1948,0.168089264
1949,-0.414313242
1950,-0.406260862
1951,0.442736436
1952,0.091552969
1953,0.322813295
1954,-0.149321703
1955,-0.611525518
1956,-0.437267831
1957,0.410443337
1958,0.557767623
1959,0.197253593
1960,-0.06591501
1961,0.104145296
1962,-0.071105874
1963,0.295215406
1964,-0.303525574
1965,0.8394937
1966,0.285425709
1967,0.096094056
1968,0.39869017
1969,0.581175951
1970,-0.185901561
1971,-0.154410351
1972,0.985645181
1973,-0.260570679
1974,-0.074089094
1975,-0.567692141
1976,0.63467142
1977,0.453011252
1978,0.182849201
1979,0.549773034
1980,0.796241248
1981,0.503765185
1982,0.970984941
1983,0.408872098
1984,0.35420917
1985,0.554035177
1986,1.104659632
1987,1.148270747
1988,0.077444853
1989,0.408904325
1990,1.285543103
1991,1.420967761
1992,1.15262258
1993,1.395943912
1994,1.438491229
1995,0.603334921
1996,0.846692
1997,1.512229925
